subjectName,constructName,latex_formatted_question,question,latext_formatted_wrongAnswer,wrongAnswer,misconception,latex_formatted_wrongAnswer
"Squares, Cubes, etc",Multiplication law of indices with positive integer powers and a different base number,"Tom and Katie are arguing about \( 4^{2} \times 2^{2} \)
Tom says \( 4^{2} \times 2^{2}=64 \)
Katie says \( 4^{2} \times 2^{2}=8^{4} \)
Who is correct?",Tom and Katie are arguing about 4^2× 2^2 Tom says 4^2× 2^2=64 Katie says 4^2× 2^2=8^4 Who is correct?,Both Tom and Katie,Both Tom and Katie,"2084    When multiplying numbers with different bases,...
Name: MisconceptionName, dtype: object",
Substitution into Formula,Substitute into simple formulae given in words,"A quick way to change approximately from miles to kilometers is to divide the number of miles by \( 3 \) and then multiply by \( 5 \).
Using this method, how many kilometres are equal to \( 15 \) miles?","A quick way to change approximately from miles to kilometers is to divide the number of miles by 3 and then multiply by 5. Using this method, how many kilometres are equal to 15 miles?",\( 17 \),17,"2273    Subtracts instead of divides
Name: MisconceptionName, dtype: object",
Substitution into Formula,Substitute into simple formulae given in words,"A quick way to change approximately from miles to kilometers is to divide the number of miles by \( 3 \) and then multiply by \( 5 \).
Using this method, how many kilometres are equal to \( 15 \) miles?","A quick way to change approximately from miles to kilometers is to divide the number of miles by 3 and then multiply by 5. Using this method, how many kilometres are equal to 15 miles?",\( 15 \),15,"643    Think 1km = 1 mile
Name: MisconceptionName, dtype: object",
Standard Form,Order numbers in standard form that are between 0 and 1 ,"Tom and Katie are discussing standard form.

Tom says \( 9.3 \times 10^{5}>2.3 \times 10^{6} \)

Katie says \( 9.3 \times 10^{-5}>2.3 \times 10^{-6} \)

Who is correct?",Tom and Katie are discussing standard form.  Tom says 9.3 × 10^5>2.3 × 10^6  Katie says 9.3 × 10^-5>2.3 × 10^-6  Who is correct?,Both Tom and Katie,Both Tom and Katie,"1124    When ordering numbers in standard form just lo...
Name: MisconceptionName, dtype: object",
Angles in Triangles,Find missing angles in an isosceles triangle,"This is an isosceles triangle.
Calculate the size of angle \( p \). ![An isosceles triangle with one angle labelled 56 degrees and one angle labelled p [not to scale]]()",This is an isosceles triangle. Calculate the size of angle p. ![An isosceles triangle with one angle labelled 56 degrees and one angle labelled p [not to scale]](),,56^∘,"97    Believes there is only one orientation for the...
Name: MisconceptionName, dtype: object",\( 56^{\circ} \)
Angles in Triangles,Find missing angles in an isosceles triangle,"This is an isosceles triangle.
Calculate the size of angle \( p \). ![An isosceles triangle with one angle labelled 56 degrees and one angle labelled p [not to scale]]()",This is an isosceles triangle. Calculate the size of angle p. ![An isosceles triangle with one angle labelled 56 degrees and one angle labelled p [not to scale]](),\( 68^{\circ} \),68^∘,"97    Believes there is only one orientation for the...
Name: MisconceptionName, dtype: object",
Angles in Triangles,Find missing angles in an isosceles triangle,"This is an isosceles triangle.
Calculate the size of angle \( p \). ![An isosceles triangle with one angle labelled 56 degrees and one angle labelled p [not to scale]]()",This is an isosceles triangle. Calculate the size of angle p. ![An isosceles triangle with one angle labelled 56 degrees and one angle labelled p [not to scale]](),\( 124^{\circ} \),124^∘,"793    Forgets to subtract sum of angles we know from...
Name: MisconceptionName, dtype: object",
Volume and Capacity Units,Convert between l and  cm³,"Complete this statement:
\( 5 \) litres \( = \) ________\( \mathrm{cm}^{3} \)",Complete this statement: 5 litres = ________cm^3,,5,"273    Thinks 1l = 1 cubic centimetre
Name: MisconceptionName, dtype: object",\( 5 \)
Volume and Capacity Units,Convert between l and  cm³,"Complete this statement:
\( 5 \) litres \( = \) ________\( \mathrm{cm}^{3} \)",Complete this statement: 5 litres = ________cm^3,\( 500 \),500,"474    Thinks 1l = 100 cubic centimetres
Name: MisconceptionName, dtype: object",
Volume and Capacity Units,Convert between l and  cm³,"Complete this statement:
\( 5 \) litres \( = \) ________\( \mathrm{cm}^{3} \)",Complete this statement: 5 litres = ________cm^3,\( 50 \),50,"1863    Thinks 1l = 10 cubic centimetres
Name: MisconceptionName, dtype: object",
Mental Multiplication and Division,Understand the non-commutativity of division,"Tom and Katie want to share £2 between \( 4 \) people.
Tom says you would calculate the amount each person gets by doing \( 4 \div 2 \)
Katie says you would calculate the amount each person gets by doing \( 2 \div 4 \)
Who do you agree with?",Tom and Katie want to share £2 between 4 people. Tom says you would calculate the amount each person gets by doing 4 ÷ 2 Katie says you would calculate the amount each person gets by doing 2 ÷ 4 Who do you agree with?,,Only Tom,"2359    Believes division is commutative 
Name: MisconceptionName, dtype: object",Only Tom
Mental Multiplication and Division,Understand the non-commutativity of division,"Tom and Katie want to share £2 between \( 4 \) people.
Tom says you would calculate the amount each person gets by doing \( 4 \div 2 \)
Katie says you would calculate the amount each person gets by doing \( 2 \div 4 \)
Who do you agree with?",Tom and Katie want to share £2 between 4 people. Tom says you would calculate the amount each person gets by doing 4 ÷ 2 Katie says you would calculate the amount each person gets by doing 2 ÷ 4 Who do you agree with?,Both of them,Both of them,"2359    Believes division is commutative 
Name: MisconceptionName, dtype: object",
Compound Area,"Calculate missing lengths of shapes by geometrical inference, where the lengths given are in the same units","What is the area of the shaded section of this composite shape made from rectangles? ![A composite shape that makes a backwards ""L"" shape from 2 rectangles.  The base of the shape is horizontal and is 11cm long. The vertical height of the whole shape is 12cm. The horizontal width of the top part of the shape is 5cm. The vertical height of the bottom rectangle is labelled 4cm. The left handed rectangle is shaded blue.]()","What is the area of the shaded section of this composite shape made from rectangles? ![A composite shape that makes a backwards ""L"" shape from 2 rectangles.  The base of the shape is horizontal and is 11cm long. The vertical height of the whole shape is 12cm. The horizontal width of the top part of the shape is 5cm. The vertical height of the bottom rectangle is labelled 4cm. The left handed rectangle is shaded blue.]()",,44  cm^2,"1148    Uses an incorrect side length when splitting a...
Name: MisconceptionName, dtype: object",\( 44 \mathrm{~cm}^{2} \)
Compound Area,"Calculate missing lengths of shapes by geometrical inference, where the lengths given are in the same units","What is the area of the shaded section of this composite shape made from rectangles? ![A composite shape that makes a backwards ""L"" shape from 2 rectangles.  The base of the shape is horizontal and is 11cm long. The vertical height of the whole shape is 12cm. The horizontal width of the top part of the shape is 5cm. The vertical height of the bottom rectangle is labelled 4cm. The left handed rectangle is shaded blue.]()","What is the area of the shaded section of this composite shape made from rectangles? ![A composite shape that makes a backwards ""L"" shape from 2 rectangles.  The base of the shape is horizontal and is 11cm long. The vertical height of the whole shape is 12cm. The horizontal width of the top part of the shape is 5cm. The vertical height of the bottom rectangle is labelled 4cm. The left handed rectangle is shaded blue.]()",\( 22 \mathrm{~cm}^{2} \),22  cm^2,"1148    Uses an incorrect side length when splitting a...
Name: MisconceptionName, dtype: object",
Compound Area,"Calculate missing lengths of shapes by geometrical inference, where the lengths given are in the same units","What is the area of the shaded section of this composite shape made from rectangles? ![A composite shape that makes a backwards ""L"" shape from 2 rectangles.  The base of the shape is horizontal and is 11cm long. The vertical height of the whole shape is 12cm. The horizontal width of the top part of the shape is 5cm. The vertical height of the bottom rectangle is labelled 4cm. The left handed rectangle is shaded blue.]()","What is the area of the shaded section of this composite shape made from rectangles? ![A composite shape that makes a backwards ""L"" shape from 2 rectangles.  The base of the shape is horizontal and is 11cm long. The vertical height of the whole shape is 12cm. The horizontal width of the top part of the shape is 5cm. The vertical height of the bottom rectangle is labelled 4cm. The left handed rectangle is shaded blue.]()",\( 28 \mathrm{~cm}^{2} \),28  cm^2,"1148    Uses an incorrect side length when splitting a...
Name: MisconceptionName, dtype: object",
Reflection,"Reflect an object or a point in a vertical line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object","Which is the correct point for \( \mathrm{E} \) when reflected in the line \( x=0 \) ? ![A 4 quadrant, coordinate grid with a triangle drawn on it with the coordinates (-4,1) (-1,1) and (-2,3). E is the point (-2,3)]()","Which is the correct point for E when reflected in the line x=0 ? ![A 4 quadrant, coordinate grid with a triangle drawn on it with the coordinates (-4,1) (-1,1) and (-2,3). E is the point (-2,3)]()","B is the coordinate (-2,-3)","B is the coordinate (-2,-3)","898    Thinks x = 0 is the x axis
Name: MisconceptionName, dtype: object",
Reflection,"Reflect an object or a point in a vertical line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object","Which is the correct point for \( \mathrm{E} \) when reflected in the line \( x=0 \) ? ![A 4 quadrant, coordinate grid with a triangle drawn on it with the coordinates (-4,1) (-1,1) and (-2,3). E is the point (-2,3)]()","Which is the correct point for E when reflected in the line x=0 ? ![A 4 quadrant, coordinate grid with a triangle drawn on it with the coordinates (-4,1) (-1,1) and (-2,3). E is the point (-2,3)]()","C is the coordinate (2,-3)","C is the coordinate (2,-3)","772    Rotates instead of reflects
Name: MisconceptionName, dtype: object",
Properties of Quadrilaterals,Identify a rhombus from a description of the properties,"Tom and Katie have been asked to give the name of a quadrilateral with four equal sides
Tom says rectangle
Katie says rhombus
Who do you agree with?",Tom and Katie have been asked to give the name of a quadrilateral with four equal sides Tom says rectangle Katie says rhombus Who do you agree with?,,Only Tom,"551    Believes a rectangle has four equal sides
Name: MisconceptionName, dtype: object","Only
Tom"
Properties of Quadrilaterals,Identify a rhombus from a description of the properties,"Tom and Katie have been asked to give the name of a quadrilateral with four equal sides
Tom says rectangle
Katie says rhombus
Who do you agree with?",Tom and Katie have been asked to give the name of a quadrilateral with four equal sides Tom says rectangle Katie says rhombus Who do you agree with?,Both Tom and Katie,Both Tom and Katie,"551    Believes a rectangle has four equal sides
Name: MisconceptionName, dtype: object",
Properties of Quadrilaterals,Identify a rhombus from a description of the properties,"Tom and Katie have been asked to give the name of a quadrilateral with four equal sides
Tom says rectangle
Katie says rhombus
Who do you agree with?",Tom and Katie have been asked to give the name of a quadrilateral with four equal sides Tom says rectangle Katie says rhombus Who do you agree with?,Neither is correct,Neither is correct,"551    Believes a rectangle has four equal sides
Name: MisconceptionName, dtype: object",
Congruency in Other Shapes,Identify congruence in shapes other than triangles,"Tom and Katie are discussing congruent shapes Tom says these two shapes are congruent ![Two identical 6-sided ""L shape"" polygons. One of the polygons has been rotated through 90 degrees.]() Katie says these two shapes are congruent ![Two 6-sided ""L shape"" polygons. One of the polygons has a wider upright section than the other.]() Who is correct?","Tom and Katie are discussing congruent shapes Tom says these two shapes are congruent ![Two identical 6-sided ""L shape"" polygons. One of the polygons has been rotated through 90 degrees.]() Katie says these two shapes are congruent ![Two 6-sided ""L shape"" polygons. One of the polygons has a wider upright section than the other.]() Who is correct?",Only Katie,Only Katie,"2312    Thinks congruent shapes are the same shape but...
Name: MisconceptionName, dtype: object",
Congruency in Other Shapes,Identify congruence in shapes other than triangles,"Tom and Katie are discussing congruent shapes Tom says these two shapes are congruent ![Two identical 6-sided ""L shape"" polygons. One of the polygons has been rotated through 90 degrees.]() Katie says these two shapes are congruent ![Two 6-sided ""L shape"" polygons. One of the polygons has a wider upright section than the other.]() Who is correct?","Tom and Katie are discussing congruent shapes Tom says these two shapes are congruent ![Two identical 6-sided ""L shape"" polygons. One of the polygons has been rotated through 90 degrees.]() Katie says these two shapes are congruent ![Two 6-sided ""L shape"" polygons. One of the polygons has a wider upright section than the other.]() Who is correct?",Both Tom and Katie,Both Tom and Katie,"2312    Thinks congruent shapes are the same shape but...
Name: MisconceptionName, dtype: object",
Congruency in Other Shapes,Identify congruence in shapes other than triangles,"Tom and Katie are discussing congruent shapes Tom says these two shapes are congruent ![Two identical 6-sided ""L shape"" polygons. One of the polygons has been rotated through 90 degrees.]() Katie says these two shapes are congruent ![Two 6-sided ""L shape"" polygons. One of the polygons has a wider upright section than the other.]() Who is correct?","Tom and Katie are discussing congruent shapes Tom says these two shapes are congruent ![Two identical 6-sided ""L shape"" polygons. One of the polygons has been rotated through 90 degrees.]() Katie says these two shapes are congruent ![Two 6-sided ""L shape"" polygons. One of the polygons has a wider upright section than the other.]() Who is correct?",Neither is correct,Neither is correct,"1318    Does not understand that shapes are congruent ...
Name: MisconceptionName, dtype: object",
Volume and Capacity Units,Identify a unit of length,"Sally has answered a question on perimeter and worked out an answer of \( 120 \).

Behind the star she has written the units that she used.

Which of the following units is definitely wrong? \( 120 \color{yellow}\bigstar \)",Sally has answered a question on perimeter and worked out an answer of 120.  Behind the star she has written the units that she used.  Which of the following units is definitely wrong? 120,,m,"915    Does not recognise metres as a unit of length
Name: MisconceptionName, dtype: object",\( m \)
Volume and Capacity Units,Identify a unit of length,"Sally has answered a question on perimeter and worked out an answer of \( 120 \).

Behind the star she has written the units that she used.

Which of the following units is definitely wrong? \( 120 \color{yellow}\bigstar \)",Sally has answered a question on perimeter and worked out an answer of 120.  Behind the star she has written the units that she used.  Which of the following units is definitely wrong? 120,\( \mathrm{km} \),km,"1422    Does not recognise km as a unit of length 
Name: MisconceptionName, dtype: object",
Volume and Capacity Units,Identify a unit of length,"Sally has answered a question on perimeter and worked out an answer of \( 120 \).

Behind the star she has written the units that she used.

Which of the following units is definitely wrong? \( 120 \color{yellow}\bigstar \)",Sally has answered a question on perimeter and worked out an answer of 120.  Behind the star she has written the units that she used.  Which of the following units is definitely wrong? 120,\( 11 \),11,"1725    Does not recognise inches ("") as a unit of length
Name: MisconceptionName, dtype: object",
Linear Equations,"Solve two-step linear equations, with the variable on one side, involving positive fractions","Solve the equation:
\(20 t-5=0\)",Solve the equation: 20 t-5=0,\( t=4 \),t=4,"1717    Swaps the dividend and divisor in order to get...
Name: MisconceptionName, dtype: object",
Linear Equations,"Solve two-step linear equations, with the variable on one side, involving positive fractions","Solve the equation:
\(20 t-5=0\)",Solve the equation: 20 t-5=0,\( t=-\frac{1}{4} \),t=-1/4,"1214    When solving an equation, uses the same operat...
Name: MisconceptionName, dtype: object",
Mental Addition and Subtraction,Complete multi-step mental calculations,"What is the value of:
\(
\frac{54+58}{2}
\)",What is the value of: 54+58/2,\( 224 \),224,"1074    Multiplies rather than divides
Name: MisconceptionName, dtype: object",
Mental Addition and Subtraction,Complete multi-step mental calculations,"What is the value of:
\(
\frac{54+58}{2}
\)",What is the value of: 54+58/2,\( 85 \),85,"1119    Does not interpret the correct order of operat...
Name: MisconceptionName, dtype: object",
Midpoint Between Two Co-ordinates,"Calculate the midpoint between two coordinates in 2D, where all the values are integers but at least one is negative","Cara is trying to work out the midpoint of these two points: \( (-5,7) \) and \( (-2,-1) \) She labels them like this: \( \left.\begin{array}{cccc}x_{1} & y_{1} & x_{2} & y_{2} \\ (-5, & 7) & (-2, & -1) \end{array}\right.\) And then decides to use this formula: \( \left(\frac{x_{1}+x_{2}}{2}, \frac{y_{1}+y_{2}}{2}\right) \) What is the \( \boldsymbol{y} \) value of the midpoint?","Cara is trying to work out the midpoint of these two points: (-5,7) and (-2,-1) She labels them like this: .[  x_1  y_1  x_2  y_2; (-5,   7) (-2,  -1) ]. And then decides to use this formula: (x_1+x_2/2, y_1+y_2/2) What is the y value of the midpoint?",,6,"2427    Does not divide by 2 when finding midpoint
Name: MisconceptionName, dtype: object",\( 6 \)
Midpoint Between Two Co-ordinates,"Calculate the midpoint between two coordinates in 2D, where all the values are integers but at least one is negative","Cara is trying to work out the midpoint of these two points: \( (-5,7) \) and \( (-2,-1) \) She labels them like this: \( \left.\begin{array}{cccc}x_{1} & y_{1} & x_{2} & y_{2} \\ (-5, & 7) & (-2, & -1) \end{array}\right.\) And then decides to use this formula: \( \left(\frac{x_{1}+x_{2}}{2}, \frac{y_{1}+y_{2}}{2}\right) \) What is the \( \boldsymbol{y} \) value of the midpoint?","Cara is trying to work out the midpoint of these two points: (-5,7) and (-2,-1) She labels them like this: .[  x_1  y_1  x_2  y_2; (-5,   7) (-2,  -1) ]. And then decides to use this formula: (x_1+x_2/2, y_1+y_2/2) What is the y value of the midpoint?",\( 4 \),4,"971    Believes that adding a negative will increase ...
Name: MisconceptionName, dtype: object",
"Basic Angle Facts (straight line, opposite, around a point, etc)",Find missing angles using angles on a straight line,"What is the size of angle \( q \) ? ![Two angles on a straight line, one is labelled 62 degrees and the other is q]()","What is the size of angle q ? ![Two angles on a straight line, one is labelled 62 degrees and the other is q]()",,62^∘,"8    Student thinks that any two angles along a str...
Name: MisconceptionName, dtype: object",\( 62^{\circ} \)
"Basic Angle Facts (straight line, opposite, around a point, etc)",Find missing angles using angles on a straight line,"What is the size of angle \( q \) ? ![Two angles on a straight line, one is labelled 62 degrees and the other is q]()","What is the size of angle q ? ![Two angles on a straight line, one is labelled 62 degrees and the other is q]()",\( 128^{\circ} \),128^∘,"699    When “borrowing” during a subtraction problem,...
Name: MisconceptionName, dtype: object",
"Basic Angle Facts (straight line, opposite, around a point, etc)",Find missing angles using angles on a straight line,"What is the size of angle \( q \) ? ![Two angles on a straight line, one is labelled 62 degrees and the other is q]()","What is the size of angle q ? ![Two angles on a straight line, one is labelled 62 degrees and the other is q]()",\( 298^{\circ} \),298^∘,"2362    Believes angles on a straight line add to 360 ...
Name: MisconceptionName, dtype: object",
"Basic Angle Facts (straight line, opposite, around a point, etc)",Find missing angles using angles on a straight line,Adjacent angles on a straight line sum to...,Adjacent angles on a straight line sum to...,,90^∘,"309    Believes angles on a straight line add to 90 d...
Name: MisconceptionName, dtype: object",\( 90^{\circ} \)
"Basic Angle Facts (straight line, opposite, around a point, etc)",Find missing angles using angles on a straight line,Adjacent angles on a straight line sum to...,Adjacent angles on a straight line sum to...,\( 100^{\circ} \),100^∘,"2121    Believes angles on a straight line add to 100 ...
Name: MisconceptionName, dtype: object",
"Basic Angle Facts (straight line, opposite, around a point, etc)",Find missing angles using angles on a straight line,Adjacent angles on a straight line sum to...,Adjacent angles on a straight line sum to...,\( 360^{\circ} \),360^∘,"2362    Believes angles on a straight line add to 360 ...
Name: MisconceptionName, dtype: object",
Length Scale Factors in Similar Shapes,Solve length problems involving similar shapes where the missing length is the longer one,"The shape below has a perimeter of \( p \). If the length of all the sides are doubled, what is the perimeter of the enlarged shape? ![A trapezium]()","The shape below has a perimeter of p. If the length of all the sides are doubled, what is the perimeter of the enlarged shape? ![A trapezium]()",\( p+2 \),p+2,"1866    Confuses additive and multiplicative relations...
Name: MisconceptionName, dtype: object",
Length Scale Factors in Similar Shapes,Solve length problems involving similar shapes where the missing length is the longer one,"The shape below has a perimeter of \( p \). If the length of all the sides are doubled, what is the perimeter of the enlarged shape? ![A trapezium]()","The shape below has a perimeter of p. If the length of all the sides are doubled, what is the perimeter of the enlarged shape? ![A trapezium]()",Not enough information,Not enough information,"449    Does not realise we can scale the perimeter as...
Name: MisconceptionName, dtype: object",
Difference of Two Squares,Factorise a quadratic expression in the form x² - c,"Factorise this expression, if possible:
\(
p^{2}-9
\)","Factorise this expression, if possible: p^2-9",,(p-3)(p-3),"547    Factorises difference of two squares with the ...
Name: MisconceptionName, dtype: object",\( (p-3)(p-3) \)
Difference of Two Squares,Factorise a quadratic expression in the form x² - c,"Factorise this expression, if possible:
\(
p^{2}-9
\)","Factorise this expression, if possible: p^2-9",\( p(p-9) \),p(p-9),"2549    Believes only the first term needs to be divid...
Name: MisconceptionName, dtype: object",
Difference of Two Squares,Factorise a quadratic expression in the form x² - c,"Factorise this expression, if possible:
\(
p^{2}-9
\)","Factorise this expression, if possible: p^2-9",Does not factorise,Does not factorise,"113    Does not recognise difference of two squares
Name: MisconceptionName, dtype: object",
"Averages (mean, median, mode) from a List of Data",Divide a decimal by an integer,"What is the mean of the following numbers?
\[
2, \quad 0.2, \quad 0.02
\]","What is the mean of the following numbers?      2,    0.2,    0.02 ",\( 0.2 \),0.2,"1966    Finds the median instead of the mean
Name: MisconceptionName, dtype: object",
Substitution into Formula,Substitute numbers into a SUVAT equation to work out distance,"\( s=u t+\frac{1}{2} a t^{2} \) What is the value of \( s \) when
a=6 
u=3 
t=4
",s=u t+1/2 a t^2 What is the value of s when a=6  u=3  t=4 ,\( 156 \),156,"452    When a variable in an expression has a power, ...
Name: MisconceptionName, dtype: object",
Substitution into Formula,Substitute numbers into a SUVAT equation to work out distance,"\( s=u t+\frac{1}{2} a t^{2} \) What is the value of \( s \) when
a=6 
u=3 
t=4
",s=u t+1/2 a t^2 What is the value of s when a=6  u=3  t=4 ,\( 576 \),576,"452    When a variable in an expression has a power, ...
Name: MisconceptionName, dtype: object",
Function Machines,Determine the input of a double function machine used to create an algebraic expression,"![A function machine with 4 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left is empty and says ""input"" above it. The next rectangle has ""− 4"" written inside it, the next rectangle has ""✕ 4"" written inside it and the final rectangle on the right has ""output"" written above it and ""8m − 20"" written inside it.]() What is the input of this function machine?","![A function machine with 4 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left is empty and says ""input"" above it. The next rectangle has ""− 4"" written inside it, the next rectangle has ""✕ 4"" written inside it and the final rectangle on the right has ""output"" written above it and ""8m − 20"" written inside it.]() What is the input of this function machine?",,2 m-16,"879    Thinks you apply one inverse operation to one ...
Name: MisconceptionName, dtype: object",\( 2 m-16 \)
Function Machines,Determine the input of a double function machine used to create an algebraic expression,"![A function machine with 4 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left is empty and says ""input"" above it. The next rectangle has ""− 4"" written inside it, the next rectangle has ""✕ 4"" written inside it and the final rectangle on the right has ""output"" written above it and ""8m − 20"" written inside it.]() What is the input of this function machine?","![A function machine with 4 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left is empty and says ""input"" above it. The next rectangle has ""− 4"" written inside it, the next rectangle has ""✕ 4"" written inside it and the final rectangle on the right has ""output"" written above it and ""8m − 20"" written inside it.]() What is the input of this function machine?",\( 2 m-20 \),2 m-20,"617    Does not apply the inverse function to every t...
Name: MisconceptionName, dtype: object",
Function Machines,Determine the input of a double function machine used to create an algebraic expression,"![A function machine with 4 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left is empty and says ""input"" above it. The next rectangle has ""− 4"" written inside it, the next rectangle has ""✕ 4"" written inside it and the final rectangle on the right has ""output"" written above it and ""8m − 20"" written inside it.]() What is the input of this function machine?","![A function machine with 4 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left is empty and says ""input"" above it. The next rectangle has ""− 4"" written inside it, the next rectangle has ""✕ 4"" written inside it and the final rectangle on the right has ""output"" written above it and ""8m − 20"" written inside it.]() What is the input of this function machine?",\( 2 m-5 \),2 m-5,"657    Has completed only one of the two operations.
Name: MisconceptionName, dtype: object",
Plotting Lines from Tables of Values,Determine if a given point lies on a line,"Jo and Paul are arguing about points on the line
\(4 x-5 y=20\)

Jo says \( (10,-4) \) lies on the line \( \mathbf{4 x}-\mathbf{5 y}=\mathbf{2 0} \)

Paul says \( (-4,10) \) lies on the line \( \mathbf{4} \boldsymbol{x}-\mathbf{5 y}=\mathbf{2 0} \)

Who is correct?","Jo and Paul are arguing about points on the line 4 x-5 y=20  Jo says (10,-4) lies on the line 4 𝐱-5 𝐲=2 0  Paul says (-4,10) lies on the line 4x-5 𝐲=2 0  Who is correct?",,Only Jo,"55    When subtracting a negative number from a posi...
Name: MisconceptionName, dtype: object","Only
Jo"
Reflection,"Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object","The triangle is reflected in the dashed line
What are the new coordinates of point \( \mathrm{P} \) ? ![A coordinate grid with the reflection line y=-x drawn and a triangle with the coordinates (-2,3) (-1,4) and (0,3). P is the point (0,3)]()","The triangle is reflected in the dashed line What are the new coordinates of point P ? ![A coordinate grid with the reflection line y=-x drawn and a triangle with the coordinates (-2,3) (-1,4) and (0,3). P is the point (0,3)]()",,"(-6,3)","563    Counts the squares rather than the diagonals w...
Name: MisconceptionName, dtype: object","\( (-6,3) \)"
Reflection,"Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object","The triangle is reflected in the dashed line
What are the new coordinates of point \( \mathrm{P} \) ? ![A coordinate grid with the reflection line y=-x drawn and a triangle with the coordinates (-2,3) (-1,4) and (0,3). P is the point (0,3)]()","The triangle is reflected in the dashed line What are the new coordinates of point P ? ![A coordinate grid with the reflection line y=-x drawn and a triangle with the coordinates (-2,3) (-1,4) and (0,3). P is the point (0,3)]()","\( (-3,6) \)","(-3,6)","1990    Fails to reflect across mirror line
Name: MisconceptionName, dtype: object",
Reflection,"Reflect an object or a point in a diagonal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object","The triangle is reflected in the dashed line
What are the new coordinates of point \( \mathrm{P} \) ? ![A coordinate grid with the reflection line y=-x drawn and a triangle with the coordinates (-2,3) (-1,4) and (0,3). P is the point (0,3)]()","The triangle is reflected in the dashed line What are the new coordinates of point P ? ![A coordinate grid with the reflection line y=-x drawn and a triangle with the coordinates (-2,3) (-1,4) and (0,3). P is the point (0,3)]()","\( (-3,3) \)","(-3,3)","1990    Fails to reflect across mirror line
Name: MisconceptionName, dtype: object",
Construct Triangle,Construct a triangle using Side-Angle-Side,Which combination of mathematical instruments has been used to construct this triangle? ![A triangle construction with one angle and two sides labelled ](),Which combination of mathematical instruments has been used to construct this triangle? ![A triangle construction with one angle and two sides labelled ](),,Protractor  Compass,"723    Forgets you need a ruler to measure lengths
Name: MisconceptionName, dtype: object","Protractor 
Compass"
Construct Triangle,Construct a triangle using Side-Angle-Side,Which combination of mathematical instruments has been used to construct this triangle? ![A triangle construction with one angle and two sides labelled ](),Which combination of mathematical instruments has been used to construct this triangle? ![A triangle construction with one angle and two sides labelled ](),"Ruler 
Compass",Ruler  Compass,"651    Forgets you need a protractor to measure angles
Name: MisconceptionName, dtype: object",
Construct Triangle,Construct a triangle using Side-Angle-Side,Which combination of mathematical instruments has been used to construct this triangle? ![A triangle construction with one angle and two sides labelled ](),Which combination of mathematical instruments has been used to construct this triangle? ![A triangle construction with one angle and two sides labelled ](),"Ruler 
Protractor",Ruler  Protractor,"297    Forgets you need a compass to draw arcs
Name: MisconceptionName, dtype: object",
Combining Operations,Solve problems that combine addition or subtraction with multiplication,"Every week for \( 4 \) weeks, Cara buys a magazine for \( £ 6 \) and gets her nails painted for \( £ 28 \).

How much money does Cara spend altogether?","Every week for 4 weeks, Cara buys a magazine for £ 6 and gets her nails painted for £ 28.  How much money does Cara spend altogether?",,£ 34,"1179    Forgets to multiply up for the correct time fr...
Name: MisconceptionName, dtype: object",\( £ 34 \)
Combining Operations,Solve problems that combine addition or subtraction with multiplication,"Every week for \( 4 \) weeks, Cara buys a magazine for \( £ 6 \) and gets her nails painted for \( £ 28 \).

How much money does Cara spend altogether?","Every week for 4 weeks, Cara buys a magazine for £ 6 and gets her nails painted for £ 28.  How much money does Cara spend altogether?",\( £ 52 \),£ 52,"1999    Does not interpret the correct order of operat...
Name: MisconceptionName, dtype: object",
Combining Operations,Solve problems that combine addition or subtraction with multiplication,"Every week for \( 4 \) weeks, Cara buys a magazine for \( £ 6 \) and gets her nails painted for \( £ 28 \).

How much money does Cara spend altogether?","Every week for 4 weeks, Cara buys a magazine for £ 6 and gets her nails painted for £ 28.  How much money does Cara spend altogether?",\( £ 118 \),£ 118,"1999    Does not interpret the correct order of operat...
Name: MisconceptionName, dtype: object",
"Square Roots, Cube Roots, etc",Calculate the cube root of a number,\( \sqrt[3]{125}= \),√(125)=,\( \frac{125}{3} \),125/3,"414    Divides by the order of the root
Name: MisconceptionName, dtype: object",
"Square Roots, Cube Roots, etc",Calculate the cube root of a number,\( \sqrt[3]{125}= \),√(125)=,\( 375 \),375,"146    Has multiplied by the root power
Name: MisconceptionName, dtype: object",
